,logTL,sem,,logTL,
Eubalaena_glacialis,3.19434156,0.034055395,40,2.785329835,610
Eubalaena_japonica,3.230448921,0.06811079,41,2.786435326,611.5547248
Eubalaena_shinshuensis,3.081367611,0.06811079,42,2.798500325,628.7823247
Gricetoides_aurorae,2.99312799,0.06811079,43,2.806314901,640.1988673
Herpetocetus_bramblei,2.566469328,0.06811079,44,2.830164136,676.3385397
Herpetocetus_morrowi,2.524933998,0.06811079,45,2.840951772,693.3488065
Herpetocetus_transatlanticus,2.605010116,0.06811079,46,2.845937758,701.3547754
Isanacetus_laticephalus,2.655828793,0.06811079,47,2.848442788,705.4119101
Janjucetus_hunderi,2.509202522,0.06811079,48,2.869945897,741.2178965
Joumocetus_shimizui,2.585240314,0.06811079,49,2.880813592,760
Kurdalagonus_mchedlidzei,2.518142601,0.06811079,50,2.886256362,769.5845889
Llanocetus_denticrenatus,2.845937758,0.06811079,51,2.886256362,769.5845889
Mammalodon_colliveri,2.551000909,0.06811079,52,2.891548505,779.0198158
Mauicetus_parki,2.744014255,0.06811079,53,2.909020854,811
Megaptera_hubachi,2.749736316,0.06811079,54,2.913726831,819.8357089
Megaptera_miocaena,3.079338889,0.06811079,55,2.917006217,826.0497753
Megaptera_novaeangliae,3.035907894,0.030460071,56,2.931457871,854
Metopocetus_durinasus,2.641043951,0.06811079,57,2.953270672,897.9882875
Micromysticetus_rothauseni,2.627337205,0.06811079,58,2.969883206,933.0033556
Miocaperea_pulchra,2.705932985,0.06811079,59,2.976477625,947.2783798
Morawanocetus_yabukii,2.443006158,0.06811079,60,2.985721066,967.6561615
Morenocetus_parvus,2.726783851,0.06811079,61,2.99312799,984.3011434
Nannocetus_eremus,2.377260299,0.06811079,62,3.018363051,1043.189124
Parabalaenoptera_baulinensis,2.909020854,0.06811079,63,3.029940902,1071.373504
Parietobalaena_campiniana,2.605010116,0.06811079,64,3.035907894,1086.195236
Parietobalaena_palmeri,2.657443142,0.06811079,65,3.038993612,1093.940276
Parietobalaena_yamaokai,2.512393568,0.06811079,66,3.060960636,1150.696087
Pelocetus_calvertensis,2.913726831,0.06811079,67,3.079338889,1200.435662
Peripolocetus_vexillifer,2.786435326,0.06811079,68,3.081367611,1206.056381
Pinocetus_polonicus,2.798500325,0.06811079,69,3.089748525,1229.556598
Piscobalaena_nana,2.603168865,0.06811079,70,3.14145,1385.000723
Plesiobalaenoptera_quarantellii,2.931457871,0.06811079,71,3.149044285,1409.43251
Thinocetus_arthritus,2.777588819,0.06811079,72,3.186932,1537.913821
Tiphyocetus_temblorensis,2.642673665,0.06811079,73,3.19434156,1564.377498
Titanocetus_sammarinensis,2.869945897,0.06811079,74,3.230448921,1700
Uranocetus_gramensis,2.985721066,0.06811079,75,3.24482357,1757.20961
Yamatocetus_canaliculatus,2.627337205,0.06811079,76,3.379653841,2396.921665
